Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
49,2025,23055,Storvika V,0.11,0.27,0,Nei,Ja,5528,DYRØY,55,Troms,69.043915,17.357317,0.5,Nei,7.1,10,Andøya til Senja
49,2025,10421,Storvikbukta,0.01,0.01,0,Nei,Ja,5060,NÆRØYSUND,50,Trøndelag,64.92828,11.91045,0.5,Nei,8.36,7,Nord-Trøndelag med Bindal
49,2025,45166,Storvikneset,0.1,0.03,0,Nei,Ja,1828,NESNA,18,Nordland,66.28207,12.996967,0.5,Nei,7.52,8,Helgeland til Bodø
49,2025,11298,Storøya Nø,0.19,0.39,0.09,Nei,Ja,1851,LØDINGEN,18,Nordland,68.42872,15.867383,0.5,Nei,7.26,9,Vestfjorden og Vesterålen
49,2025,10753,Strandmo,0.08,0.36,0,Nei,Ja,5534,KARLSØY,55,Troms,69.88185,19.435083,0.5,Nei,6.51,11,Kvaløya til Loppa
49,2025,12081,Straumneset,,,,Ja,Nei,4618,ULLENSVANG,46,Vestland,60.221867,6.14,0.5,,,3,Karmøy til Sotra
49,2025,22435,Stretarneset,,,,Ja,Nei,1866,HADSEL,18,Nordland,68.67398,14.982483,0.5,,,9,Vestfjorden og Vesterålen
49,2025,26235,Stualand,0.26,0.04,0,Nei,Ja,4612,SVEIO,46,Vestland,59.6088,5.5269,0.5,Nei,11.1,3,Karmøy til Sotra
49,2025,11552,Stuholmen,,,,Ja,Nei,4626,ØYGARDEN,46,Vestland,60.249516,4.978467,0.5,,,3,Karmøy til Sotra
49,2025,11596,Ståløy,,,,Ja,Nei,4625,AUSTEVOLL,46,Vestland,60.088615,5.1734,0.5,,,3,Karmøy til Sotra
49,2025,36100,Suholmen,0.2,0.67,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.494934,8.02235,0.5,Nei,9.31,6,Nordmøre og Sør-Trøndelag
49,2025,19396,Sunde,,,,Ja,Nei,4617,KVINNHERAD,46,Vestland,59.833134,5.709167,0.5,,,3,Karmøy til Sotra
49,2025,29376,Sundsøy,,,,Ja,Nei,1827,DØNNA,18,Nordland,66.17637,12.770283,0.5,,,8,Helgeland til Bodø
49,2025,39617,Svanøya,0.15,0.1,0.02,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.416634,7.79165,0.5,Nei,8.2,6,Nordmøre og Sør-Trøndelag
49,2025,45000,Svartberget,,,,Ja,Nei,5546,KVÆNANGEN,55,Troms,70.01877,22.020733,0.5,,,11,Kvaløya til Loppa
49,2025,11312,Svartfjell,0.06,0.02,0,Nei,Ja,1848,STEIGEN,18,Nordland,67.93948,15.503168,0.5,Nei,7.7,9,Vestfjorden og Vesterålen
49,2025,31817,Svartskjær,0.11,0.04,0,Nei,Ja,5514,IBESTAD,55,Troms,68.718285,16.775467,0.5,Nei,7.2,10,Andøya til Senja
49,2025,11776,Sveholmane,,,,Ja,Nei,4602,KINN,46,Vestland,61.557716,5.215333,0.5,,,4,Nordhordaland til Stadt
49,2025,13727,Svellungen,0.26,0.74,0,Nei,Ja,5056,HITRA,50,Trøndelag,63.655785,9.15525,0.5,Nei,9.25,6,Nordmøre og Sør-Trøndelag
49,2025,40118,Svindalen I,,,,Ja,Nei,1871,ANDØY,18,Nordland,68.92783,15.42875,0.5,,,9,Vestfjorden og Vesterålen
49,2025,11144,Svinvær,0,0,0.01,Nei,Ja,1836,RØDØY,18,Nordland,66.769485,13.171383,0.5,Nei,7.3,8,Helgeland til Bodø
49,2025,11813,Svinøy V,0,0.03,0,Nei,Ja,4646,FJALER,46,Vestland,61.30475,5.101317,0.5,Nei,11.8,4,Nordhordaland til Stadt
49,2025,22955,Svollandsneset,0.17,0.32,0.19,Nei,Ja,1160,VINDAFJORD,11,Rogaland,59.685184,5.58855,0.5,Nei,11.08,3,Karmøy til Sotra
49,2025,12074,Svåsandneset,0.07,0.23,0.02,Nei,Ja,4618,ULLENSVANG,46,Vestland,60.32422,6.318983,0.5,Nei,10.23,3,Karmøy til Sotra
49,2025,13196,Syltøy,0,0.05,0.04,Nei,Ja,4626,ØYGARDEN,46,Vestland,60.304432,4.968967,0.5,Nei,9.9,3,Karmøy til Sotra
49,2025,10309,Syrtangen,0.2,1.08,1.08,Nei,Ja,4626,ØYGARDEN,46,Vestland,60.46773,4.968667,0.5,Nei,10.26,4,Nordhordaland til Stadt
